rent_burden_med,Median rent burden,Brooklyn,Sheepshead Bay/Gravesend,0.278961039,0.35,0.359,0.344,0.322,0.314,0.318,0.362,0.327,0.353,0.357,0.33,0.332,0.337,0.333
rent_burden_med,Median rent burden,Bronx,Soundview/Parkchester,0.264,0.309,0.3,0.312,0.291,0.315,0.312,0.334,0.342,0.327,0.359,0.35,0.34,0.341,0.343
rent_burden_med,Median rent burden,Brooklyn,South Crown Heights,0.28033195,0.295,0.322,0.296,0.368,0.334,0.346,0.351,0.371,0.318,0.377,0.346,0.319,0.338,0.29
rent_burden_med,Median rent burden,Bronx,South Ozone Park/Howard Beach,0.26112,0.367,0.356,0.345,0.301,0.302,0.414,0.378,0.362,0.351,0.412,0.306,0.371,0.333,0.325
rent_burden_med,Median rent burden,Staten Island,South Shore,0.2424,0.353,0.3,0.331,0.26,0.272,0.328,0.244,0.246,0.307,0.352,0.262,0.25,0.329,0.271
rent_burden_med,Median rent burden,Manhattan,Stuyvesant Town/Turtle Bay,0.224824903,0.251,0.254,0.24,0.255,0.255,0.273,0.267,0.265,0.251,0.276,0.289,0.277,0.267,0.257
rent_burden_med,Median rent burden,Queens,Sunnyside/Woodside,0.252,0.306,0.301,0.283,0.286,0.28,0.335,0.341,0.342,0.296,0.344,0.315,0.312,0.31,0.301
rent_burden_med,Median rent burden,Brooklyn,Sunset Park,0.275,0.353,0.286,0.352,0.319,0.362,0.336,0.333,0.376,0.358,0.382,0.368,0.333,0.319,0.319
rent_burden_med,Median rent burden,Bronx,Throgs Neck/Co-op City,0.214865736,0.3,0.244,0.237,0.262,0.286,0.272,0.312,0.306,0.288,0.274,0.319,0.296,0.289,0.291
rent_burden_med,Median rent burden,Bronx,University Heights/Fordham,0.314285714,0.392,0.396,0.373,0.363,0.388,0.38,0.376,0.452,0.425,0.456,0.42,0.392,0.417,0.382
rent_burden_med,Median rent burden,Manhattan,Upper East Side,0.225882353,0.282,0.251,0.236,0.244,0.26,0.27,0.267,0.25,0.28,0.254,0.287,0.271,0.248,0.26
rent_burden_med,Median rent burden,Manhattan,Upper West Side,0.219518797,0.244,0.246,0.244,0.234,0.236,0.266,0.27,0.271,0.255,0.274,0.25,0.26,0.222,0.234
rent_burden_med,Median rent burden,Manhattan,Washington Heights/Inwood,0.260869565,0.314,0.324,0.31,0.311,0.327,0.301,0.325,0.337,0.348,0.328,0.325,0.301,0.3,0.31
rent_burden_med,Median rent burden,Bronx,Williamsbridge/Baychester,0.27355102,0.334,0.298,0.282,0.305,0.318,0.338,0.38,0.34,0.345,0.399,0.35,0.348,0.347,0.374
rent_burden_med,Median rent burden,Brooklyn,Williamsburg/Greenpoint,0.272727273,0.326,0.313,0.307,0.303,0.319,0.312,0.305,0.296,0.294,0.319,0.285,0.301,0.298,0.282
